# seed=380437426 arm_mapping={0: 'random-nominal', 1: 'full', 2: 'baseline', 3: 'local-only', 4: 'random-matched'}
block,position,arm,base_config,base_config_hash,cell_config,run_name
2,2,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block02-pos2-baseline.json,interleaved-block02-pos2-baseline
2,3,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block02-pos3-random-nominal.json,interleaved-block02-pos3-random-nominal
2,4,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block02-pos4-full.json,interleaved-block02-pos4-full
3,0,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block03-pos0-random-nominal.json,interleaved-block03-pos0-random-nominal
3,1,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block03-pos1-full.json,interleaved-block03-pos1-full
3,2,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block03-pos2-random-matched.json,interleaved-block03-pos2-random-matched
3,3,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block03-pos3-baseline.json,interleaved-block03-pos3-baseline
3,4,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block03-pos4-local-only.json,interleaved-block03-pos4-local-only
4,0,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block04-pos0-local-only.json,interleaved-block04-pos0-local-only
4,1,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block04-pos1-baseline.json,interleaved-block04-pos1-baseline
4,2,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block04-pos2-random-matched.json,interleaved-block04-pos2-random-matched
4,3,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block04-pos3-full.json,interleaved-block04-pos3-full
4,4,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block04-pos4-random-nominal.json,interleaved-block04-pos4-random-nominal
5,0,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block05-pos0-random-nominal.json,interleaved-block05-pos0-random-nominal
5,1,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block05-pos1-full.json,interleaved-block05-pos1-full
5,2,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block05-pos2-random-matched.json,interleaved-block05-pos2-random-matched
5,3,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block05-pos3-baseline.json,interleaved-block05-pos3-baseline
5,4,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block05-pos4-local-only.json,interleaved-block05-pos4-local-only
6,0,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block06-pos0-random-matched.json,interleaved-block06-pos0-random-matched
6,1,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block06-pos1-local-only.json,interleaved-block06-pos1-local-only
6,2,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block06-pos2-random-nominal.json,interleaved-block06-pos2-random-nominal
6,3,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block06-pos3-baseline.json,interleaved-block06-pos3-baseline
6,4,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block06-pos4-full.json,interleaved-block06-pos4-full
7,0,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block07-pos0-full.json,interleaved-block07-pos0-full
7,1,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block07-pos1-random-nominal.json,interleaved-block07-pos1-random-nominal
7,2,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block07-pos2-baseline.json,interleaved-block07-pos2-baseline
7,3,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block07-pos3-random-matched.json,interleaved-block07-pos3-random-matched
7,4,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block07-pos4-local-only.json,interleaved-block07-pos4-local-only
8,0,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block08-pos0-random-matched.json,interleaved-block08-pos0-random-matched
8,1,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block08-pos1-local-only.json,interleaved-block08-pos1-local-only
8,2,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block08-pos2-random-nominal.json,interleaved-block08-pos2-random-nominal
8,3,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block08-pos3-baseline.json,interleaved-block08-pos3-baseline
8,4,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block08-pos4-full.json,interleaved-block08-pos4-full
9,0,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block09-pos0-full.json,interleaved-block09-pos0-full
9,1,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block09-pos1-random-nominal.json,interleaved-block09-pos1-random-nominal
9,2,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block09-pos2-baseline.json,interleaved-block09-pos2-baseline
9,3,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block09-pos3-random-matched.json,interleaved-block09-pos3-random-matched
9,4,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block09-pos4-local-only.json,interleaved-block09-pos4-local-only
10,0,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block10-pos0-full.json,interleaved-block10-pos0-full
10,1,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block10-pos1-baseline.json,interleaved-block10-pos1-baseline
10,2,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block10-pos2-random-nominal.json,interleaved-block10-pos2-random-nominal
10,3,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block10-pos3-local-only.json,interleaved-block10-pos3-local-only
10,4,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block10-pos4-random-matched.json,interleaved-block10-pos4-random-matched
11,0,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block11-pos0-random-matched.json,interleaved-block11-pos0-random-matched
11,1,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block11-pos1-local-only.json,interleaved-block11-pos1-local-only
11,2,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block11-pos2-random-nominal.json,interleaved-block11-pos2-random-nominal
11,3,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block11-pos3-baseline.json,interleaved-block11-pos3-baseline
11,4,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block11-pos4-full.json,interleaved-block11-pos4-full
12,0,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block12-pos0-random-matched.json,interleaved-block12-pos0-random-matched
12,1,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block12-pos1-random-nominal.json,interleaved-block12-pos1-random-nominal
12,2,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block12-pos2-local-only.json,interleaved-block12-pos2-local-only
12,3,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block12-pos3-full.json,interleaved-block12-pos3-full
12,4,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block12-pos4-baseline.json,interleaved-block12-pos4-baseline
13,0,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block13-pos0-random-matched.json,interleaved-block13-pos0-random-matched
13,1,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block13-pos1-random-nominal.json,interleaved-block13-pos1-random-nominal
13,2,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block13-pos2-local-only.json,interleaved-block13-pos2-local-only
13,3,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block13-pos3-full.json,interleaved-block13-pos3-full
13,4,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block13-pos4-baseline.json,interleaved-block13-pos4-baseline
14,0,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block14-pos0-random-nominal.json,interleaved-block14-pos0-random-nominal
14,1,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block14-pos1-random-matched.json,interleaved-block14-pos1-random-matched
14,2,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block14-pos2-full.json,interleaved-block14-pos2-full
14,3,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block14-pos3-local-only.json,interleaved-block14-pos3-local-only
14,4,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block14-pos4-baseline.json,interleaved-block14-pos4-baseline
15,0,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block15-pos0-random-matched.json,interleaved-block15-pos0-random-matched
15,1,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block15-pos1-random-nominal.json,interleaved-block15-pos1-random-nominal
15,2,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block15-pos2-local-only.json,interleaved-block15-pos2-local-only
15,3,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block15-pos3-full.json,interleaved-block15-pos3-full
15,4,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block15-pos4-baseline.json,interleaved-block15-pos4-baseline
16,0,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block16-pos0-random-nominal.json,interleaved-block16-pos0-random-nominal
16,1,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block16-pos1-random-matched.json,interleaved-block16-pos1-random-matched
16,2,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block16-pos2-full.json,interleaved-block16-pos2-full
16,3,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block16-pos3-local-only.json,interleaved-block16-pos3-local-only
16,4,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block16-pos4-baseline.json,interleaved-block16-pos4-baseline
17,0,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block17-pos0-baseline.json,interleaved-block17-pos0-baseline
17,1,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block17-pos1-local-only.json,interleaved-block17-pos1-local-only
17,2,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block17-pos2-full.json,interleaved-block17-pos2-full
17,3,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block17-pos3-random-matched.json,interleaved-block17-pos3-random-matched
17,4,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block17-pos4-random-nominal.json,interleaved-block17-pos4-random-nominal
18,0,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block18-pos0-full.json,interleaved-block18-pos0-full
18,1,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block18-pos1-baseline.json,interleaved-block18-pos1-baseline
18,2,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block18-pos2-random-nominal.json,interleaved-block18-pos2-random-nominal
18,3,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block18-pos3-local-only.json,interleaved-block18-pos3-local-only
18,4,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block18-pos4-random-matched.json,interleaved-block18-pos4-random-matched
19,0,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block19-pos0-baseline.json,interleaved-block19-pos0-baseline
19,1,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block19-pos1-full.json,interleaved-block19-pos1-full
19,2,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block19-pos2-local-only.json,interleaved-block19-pos2-local-only
19,3,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block19-pos3-random-nominal.json,interleaved-block19-pos3-random-nominal
19,4,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block19-pos4-random-matched.json,interleaved-block19-pos4-random-matched
20,0,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block20-pos0-local-only.json,interleaved-block20-pos0-local-only
20,1,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block20-pos1-baseline.json,interleaved-block20-pos1-baseline
20,2,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block20-pos2-random-matched.json,interleaved-block20-pos2-random-matched
20,3,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block20-pos3-full.json,interleaved-block20-pos3-full
20,4,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block20-pos4-random-nominal.json,interleaved-block20-pos4-random-nominal
21,0,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block21-pos0-full.json,interleaved-block21-pos0-full
21,1,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block21-pos1-random-nominal.json,interleaved-block21-pos1-random-nominal
21,2,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block21-pos2-baseline.json,interleaved-block21-pos2-baseline
21,3,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block21-pos3-random-matched.json,interleaved-block21-pos3-random-matched
21,4,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block21-pos4-local-only.json,interleaved-block21-pos4-local-only
22,0,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block22-pos0-local-only.json,interleaved-block22-pos0-local-only
22,1,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block22-pos1-random-matched.json,interleaved-block22-pos1-random-matched
22,2,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block22-pos2-baseline.json,interleaved-block22-pos2-baseline
22,3,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block22-pos3-random-nominal.json,interleaved-block22-pos3-random-nominal
22,4,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block22-pos4-full.json,interleaved-block22-pos4-full
23,0,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block23-pos0-baseline.json,interleaved-block23-pos0-baseline
23,1,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block23-pos1-local-only.json,interleaved-block23-pos1-local-only
23,2,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block23-pos2-full.json,interleaved-block23-pos2-full
23,3,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block23-pos3-random-matched.json,interleaved-block23-pos3-random-matched
23,4,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block23-pos4-random-nominal.json,interleaved-block23-pos4-random-nominal
24,0,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block24-pos0-local-only.json,interleaved-block24-pos0-local-only
24,1,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block24-pos1-random-matched.json,interleaved-block24-pos1-random-matched
24,2,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block24-pos2-baseline.json,interleaved-block24-pos2-baseline
24,3,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block24-pos3-random-nominal.json,interleaved-block24-pos3-random-nominal
24,4,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block24-pos4-full.json,interleaved-block24-pos4-full
25,0,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block25-pos0-random-nominal.json,interleaved-block25-pos0-random-nominal
25,1,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block25-pos1-full.json,interleaved-block25-pos1-full
25,2,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block25-pos2-random-matched.json,interleaved-block25-pos2-random-matched
25,3,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block25-pos3-baseline.json,interleaved-block25-pos3-baseline
25,4,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block25-pos4-local-only.json,interleaved-block25-pos4-local-only
26,0,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block26-pos0-baseline.json,interleaved-block26-pos0-baseline
26,1,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block26-pos1-local-only.json,interleaved-block26-pos1-local-only
26,2,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block26-pos2-full.json,interleaved-block26-pos2-full
26,3,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block26-pos3-random-matched.json,interleaved-block26-pos3-random-matched
26,4,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block26-pos4-random-nominal.json,interleaved-block26-pos4-random-nominal
27,0,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block27-pos0-baseline.json,interleaved-block27-pos0-baseline
27,1,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block27-pos1-full.json,interleaved-block27-pos1-full
27,2,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block27-pos2-local-only.json,interleaved-block27-pos2-local-only
27,3,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block27-pos3-random-nominal.json,interleaved-block27-pos3-random-nominal
27,4,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block27-pos4-random-matched.json,interleaved-block27-pos4-random-matched
28,0,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block28-pos0-local-only.json,interleaved-block28-pos0-local-only
28,1,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block28-pos1-baseline.json,interleaved-block28-pos1-baseline
